Recipient,Supplier,Year of order, ,Number ordered, .1,Weapon designation,Weapon description,Number delivered, .2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
South Korea,United States,2016.0,?,240.0,?,F414,turbofan,0.0,,,New,F414-GE-400K version; for KF-21 (KFX) combat aircraft produced in South Korea,2.5,600.0,0.0
South Korea,United States,1995.0,,118.0,?,M-992 FDCV,APC,118.0,?,1998; 1999,New,Assembled from kits in South Korea; no. could be up to 300,0.45,53.1,53.1
South Korea,United States,2011.0,,150.0,?,GBU-28,guided bomb,150.0,?,2013,New,KWR80 b ($71 m) deal,0.1,15.0,15.0
South Korea,United States,2018.0,?,542.0,?,GBU-39 SDB,guided glide bomb,542.0,?,2019; 2020,New,,0.02,10.84,10.84
South Korea,United States,2018.0,,1000.0,?,GMLRS,guided rocket,1000.0,?,2020; 2022,New,For MLRS MRL,0.08,80.0,80.0
South Korea,United States,1992.0,,28.0,,Harpoon Block-1,anti-ship missile,28.0,?,1995; 1998,New,$58 m deal; AGM-84 version for P-3C ASW/MP aircraft,0.9,25.2,25.2
South Korea,United States,1996.0,,33.0,?,Harpoon Block-1,anti-ship missile,33.0,?,1998,New,,0.9,29.7,29.7
South Korea,United States,1994.0,?,75.0,?,Harpoon Block-1,anti-ship missile,75.0,?,1998; 1999; 2000; 2001; 2002; 2004,New,UGM-84 version; for Type-209 (Chang Bogo) submarines,0.9,67.5,67.5
South Korea,United States,2001.0,?,18.0,?,Harpoon Block-1,anti-ship missile,18.0,?,2003,New,,0.9,16.2,16.2
South Korea,United States,2006.0,,26.0,,Harpoon Block-2,anti-ship missile/SSM,26.0,?,2007; 2008,New,$38 m deal; incl 20 AGM-84 and 6 UGM-84 version,1.0,26.0,26.0
South Korea,United States,2008.0,,59.0,,Harpoon Block-2,anti-ship missile/SSM,59.0,?,2011,New,AGM-84L version,1.0,59.0,59.0
South Korea,United States,2012.0,?,18.0,?,Harpoon Block-2,anti-ship missile/SSM,18.0,?,2016; 2017; 2018,New,UGM-84L Block-2 version,1.0,18.0,18.0
South Korea,United States,2020.0,?,19.0,?,Harpoon Block-2,anti-ship missile/SSM,19.0,?,2021; 2022,New,Possibly UGM-84L Block-2 version,1.0,19.0,19.0
South Korea,United States,2003.0,,14.0,?,JDAM,guided bomb,14.0,?,2006,New,,0.02,0.28,0.28
South Korea,United States,2008.0,?,280.0,?,JDAM,guided bomb,280.0,?,2010; 2011,New,Part of $200 m deal,0.02,5.6,5.6
South Korea,United States,2012.0,,246.0,,JDAM,guided bomb,246.0,?,2013,New,,0.02,4.92,4.92
South Korea,United States,2013.0,,210.0,,JDAM,guided bomb,210.0,?,2014,New,,0.02,4.2,4.2
South Korea,United States,2017.0,,290.0,,JDAM,guided bomb,290.0,?,2018,New,,0.02,5.8,5.8
South Korea,United States,2018.0,,1132.0,,JDAM,guided bomb,1132.0,?,2019,New,,0.02,22.64,22.64
South Korea,United States,1994.0,?,484.0,?,K-1A1,tank,484.0,?,1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009,New,KRW1 tr ($781 m) deal; designed in USA for production in South Korea,3.5,1694.0,1694.0
South Korea,United States,1993.0,?,6.0,,LM-2500,gas turbine,6.0,,1998; 1999; 2000,New,For 3 KDX-1 (Kwanggaeto the Great) frigates produced in South Korea,7.0,42.0,42.0
South Korea,United States,1999.0,?,6.0,,LM-2500,gas turbine,6.0,,2003; 2004; 2005,New,For 3 KDX-2 frigates produced in South Korea,7.0,42.0,42.0
South Korea,United States,2002.0,?,12.0,,LM-2500,gas turbine,12.0,,2008; 2010; 2012,New,For 3 KDX-3 destroyers produced in South Korea,7.0,84.0,84.0
South Korea,United States,2009.0,?,12.0,?,LM-2500,gas turbine,12.0,,2013; 2014; 2015; 2016,New,For 6 Incheon (FFX) frigates produced in South Korea,7.0,84.0,84.0
South Korea,United States,2019.0,?,12.0,,LM-2500,gas turbine,0.0,,,New,For 3 Sejong the Great (KDX-3 Batch-2) destroyers produced in South Korea,7.0,84.0,0.0
South Korea,United States,1992.0,,528.0,,M-109A1 155mm,self-propelled gun,528.0,?,1993; 1994; 1995; 1996; 1997,New,Produced under licence in South Korea; M-109A2 version,1.1,580.8,580.8
South Korea,United States,1995.0,,13.0,,M-110A2 203mm,self-propelled gun,13.0,,1995,Second hand,Second-hand Army,0.44,5.72,5.72
South Korea,United States,1996.0,,14.0,,M-113,APC,14.0,?,1999,New,Part of $624 m deal; M-577A2 CP version,0.25,3.5,3.5
South Korea,United States,1996.0,,29.0,,M-270 MLRS 227mm,self-propelled MRL,29.0,,1998; 1999,New,Part of $624 m deal (incl 1626 rockets); incl for use with ATACMS SSM),1.2,34.8,34.8
South Korea,United States,2002.0,,29.0,,M-270 MLRS 227mm,self-propelled MRL,29.0,?,2002; 2003; 2004,New,$498 m deal,1.2,34.8,34.8
South Korea,United States,1995.0,,275.0,,M-48A5 Patton,tank,275.0,,1995,Second hand,Second-hand; aid,0.7,192.5,192.5
South Korea,United States,1996.0,,4.0,,M-88,ARV,4.0,?,1998,New,Part of $624 m deal; M-88A1 version,1.5,6.0,6.0
South Korea,United States,1995.0,,207.0,?,M-9 ACE,AEV,207.0,?,1995; 1996; 1997; 1998,New,Assembled/produced in South Korea,0.68,140.76,140.76
South Korea,United States,2010.0,?,10.0,,MaxxPro,APC,10.0,?,2011,New,MaxxPro Dash FXM version,0.32,3.2,3.2
South Korea,United States,2021.0,,12.0,,MH-60R Seahawk,ASW helicopter,0.0,,,New,KRW960 b ($881 m) 'Maritime Operation Helicopter Batch-2' programme; delivery planned by 2026,16.5,198.0,0.0
South Korea,United States,2008.0,,64.0,,MIM-104 PAC-2,SAM,64.0,?,2010; 2011,New,South Korean PAC-2 missiles rebuilt to GEM-T version,1.0,64.0,64.0
South Korea,United States,2014.0,,112.0,?,MIM-104 PAC-2,SAM,112.0,?,2016; 2017,New,$160 m deal; South Korean PAC-2 missiles rebuilt to GEM-T version,1.0,112.0,112.0
South Korea,United States,2022.0,?,,,MIM-104 PAC-3,ABM missile,0.0,,,New,,0.8,0.0,0.0
South Korea,United States,2015.0,,136.0,?,MIM-104 PAC-3 MSE,ABM missile,136.0,?,2017; 2018; 2019,New,$769 m deal,1.5,204.0,204.0
South Korea,United States,2019.0,?,64.0,?,MIM-104 PAC-3 MSE,ABM missile,64.0,?,2020,New,,1.5,96.0,96.0
South Korea,United States,2002.0,,3.0,,Mk-41 VLS,naval SAM system,3.0,,2008; 2010; 2012,New,For 3 Daewang (KDX-3) destroyers produced in South Korea,20.0,60.0,60.0
South Korea,United States,1999.0,?,6.0,,Mk-41 VLS,naval SAM system,6.0,,2003; 2004; 2005; 2006; 2007; 2008,New,For 6 Yi Sun-Shin (KDX-2) destroyers produced in South Korea,20.0,120.0,120.0
South Korea,United States,2019.0,?,3.0,,Mk-41 VLS,naval SAM system,0.0,,,New,For 3 Daewang (KDX-3 Batch-2) destroyers produced in South Korea,20.0,60.0,0.0
South Korea,United States,1999.0,,3.0,,Mk-45 127mm,naval gun,3.0,,2003; 2004; 2005,New,$22 m deal; produced under licence in South Korea; for 3 KDX-2 frigates produced in South Korea; Mk-45 Mod-4 version,5.25,15.75,15.75
South Korea,United States,2002.0,?,3.0,,Mk-45 127mm,naval gun,3.0,,2008; 2010; 2012,New,For 3 KDX-3 destroyers produced in South Korea,5.25,15.75,15.75
South Korea,United States,2009.0,?,6.0,?,Mk-45 127mm,naval gun,6.0,,2013; 2014; 2015; 2016,New,For 6 Incheon (FFX) frigates produced in South Korea,5.25,31.5,31.5
South Korea,United States,2012.0,?,1.0,,Mk-45-4 127mm,naval gun,1.0,,2018,New,For 1 FFX-2 (Daegu) frigate produced in South Korea,7.5,7.5,7.5
South Korea,United States,2017.0,?,7.0,,Mk-45-4 127mm,naval gun,6.0,?,2021; 2023,New,For 7 Daegu (FFX-2) frigates produced in South Korea,7.5,52.5,45.0
South Korea,United States,1995.0,?,200.0,?,Mk-46 Mod-5 NEARTIP,ASW torpedo,200.0,?,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005,New,For KDX-1 (Kwanggaeto the Great) destroyers and for ASROC ASW missiles on KDX-2 destroyers,0.35,70.0,70.0
South Korea,United States,2020.0,,31.0,?,Mk-54 LWT,ASW torpedo,31.0,?,2022; 2023,New,Mk-54 Mod-0 version,0.5,15.5,15.5
South Korea,United States,1990.0,,8.0,,P-3C Orion Update-3,ASW aircraft,8.0,?,1995,New,$600 m deal,66.9,535.2,535.2
South Korea,United States,2005.0,,8.0,,P-3CUP Orion,ASW aircraft,8.0,,2010,New,$493-550 m deal; second-hand P-3B rebuilt to P-3CK (P-3CUP); 1 more for spares only,75.0,600.0,600.0
South Korea,United States,2018.0,,6.0,,P-8A Poseidon,ASW aircraft,0.0,,,New,$1.7 b deal,125.0,750.0,0.0
South Korea,United States,2015.0,?,8.0,,Patriot Configuration-3,SAM system,8.0,?,2017; 2018; 2019; 2020,New,South Korean Patriot PAC-2 SAM system rebuilt to Patriot PAC-3 SAM/ABM system,55.0,440.0,440.0
South Korea,United States,2004.0,,50.0,?,Paveway,guided bomb,50.0,?,2005,New,Paveway-2 version,0.02,1.0,1.0
South Korea,United States,2011.0,,150.0,,Paveway,guided bomb,150.0,?,2013,New,$71 m deal; GBU-28 Paveway-3 version,0.02,3.0,3.0
South Korea,United States,2011.0,?,107.0,?,Paveway,guided bomb,107.0,,2011,New,$39 m deal; GBU-24 Paveway-3 version,0.02,2.14,2.14
South Korea,United States,2011.0,,6.0,,Mk-15 Phalanx,naval gun,6.0,,2013; 2014; 2015; 2016,New,Phalanx Block-1B version for 6 Incheon (FFX) frigates produced in South Korea,7.0,42.0,42.0
South Korea,United States,2014.0,,9.0,,Mk-15 Phalanx,naval gun,8.0,?,2018; 2021; 2023,New,$123 m deal; Phalanx Block-1B version for 8 Daegu (improved Incheon or FFX Batch-2) frigates and 1 Soyang (AOE-2) support ship produced in South Korea,7.0,63.0,56.0
South Korea,United States,2015.0,?,2.0,,Mk-15 Phalanx,naval gun,2.0,,2021,New,For 1 Dokdo AALS produced in South Korea,7.0,14.0,14.0
South Korea,United States,2022.0,,4.0,,Mk-15 Phalanx,naval gun,0.0,,,New,Mk-15 Mod-25 version,7.0,28.0,0.0
South Korea,United States,1990.0,?,9.0,,RF-4C Phantom-2,reconnaissance aircraft,9.0,,1990,Second hand,Second-hand,8.4,75.6,75.6
South Korea,United States,1996.0,,8.0,,RH-800RA/SIG,reconnaissance aircraft,8.0,?,2000; 2001,New,$461 m 'Paekdu/Peace Pioneer' and 'Peace Krypton' deals; incl 4 RH-800RA ground surveillance and RH-800SIG SIGINT version; deal temporarily suspended in 1998 after corruption charges,30.0,240.0,240.0
South Korea,United States,2001.0,,64.0,,RIM-116A RAM,SAM,64.0,?,2004; 2005,New,For KDX-2 frigates,0.14,8.96,8.96
South Korea,United States,2004.0,?,130.0,?,RIM-116A RAM,SAM,130.0,?,2007; 2008; 2009; 2010; 2011,New,For KDX-3 destroyers and Dodko (LPX) AALS,0.14,18.2,18.2
South Korea,United States,2006.0,,30.0,?,RIM-116A RAM,SAM,30.0,,2007,New,$17.4 m deal; RIM-116A Block-1/HAS version,0.14,4.2,4.2
South Korea,United States,2014.0,,4.0,,RQ-4A Global Hawk,UAV,4.0,,2019; 2020,New,$657 m deal (incl production of components in South Korea); RQ-4B Block-30 version,35.0,140.0,140.0
South Korea,United States,1990.0,,81.0,,S-70 Black Hawk,transport helicopter,81.0,?,1991; 1992; 1993; 1994; 1995,New,$500 m deal; most assembled/produced under licence in South Korea; S-70A-18/UH-60P version,7.25,587.25,587.25
South Korea,United States,1991.0,?,3.0,,S-70 Black Hawk,transport helicopter,3.0,,1991,New,S-70A-22 version; for VIP transport,7.25,21.75,21.75
South Korea,United States,1994.0,?,57.0,,S-70 Black Hawk,transport helicopter,57.0,?,1995; 1996; 1997; 1998; 1999,New,Produced under licence in South Korea; S-70A-18/UH-60P version,7.25,413.25,413.25
South Korea,United States,2000.0,,4.0,?,Shadow-400,UAV,4.0,?,2001; 2002,New,,0.15,0.6,0.6
South Korea,United States,2015.0,?,32.0,?,ship engine,ship engine,32.0,?,2017; 2019; 2020; 2021; 2022,New,C-32 (1115hp) diesel engine; for 16 PKX-B FAC produced in South Korea,0.25,8.0,8.0
South Korea,United States,2005.0,?,36.0,,ship engine,ship engine,36.0,?,2008; 2011; 2012; 2013; 2014; 2018,New,LM-500 (5450hp) gas turbine; for 18 Gumdoksuri (PKX or PKG-A) FAC produced in South Korea,1.5,54.0,54.0
South Korea,United States,2015.0,?,32.0,,ship engine,ship engine,32.0,?,2017; 2019; 2020; 2021; 2022,New,LM-500 (6000hp) gas turbine; for 16 PKX-B FAC produced in South Korea,1.5,48.0,48.0
South Korea,United States,2000.0,,110.0,,Standard Missile-2MR,SAM,110.0,?,2003; 2004; 2005,New,$159 m deal; SM-2 Block-3A version; for KDX-2 destroyers,0.3,33.0,33.0
South Korea,United States,2004.0,?,159.0,?,Standard Missile-2MR,SAM,159.0,?,2006; 2007; 2008,New,SM-2 Block-3A version; for KDX-2 destroyers,0.3,47.7,47.7
South Korea,United States,2006.0,,48.0,,Standard Missile-2MR,SAM,48.0,?,2008,New,$111 m deal; SM-2 Block-3B version; for KDX-3 destroyers,0.3,14.4,14.4
South Korea,United States,2008.0,,210.0,?,Standard Missile-2MR,SAM,210.0,?,2009; 2010; 2011; 2012; 2013,New,$372 m deal; SM-2 Block-3A and SM-2 Block-3B version; for KDX-3 destroyers,0.3,63.0,63.0
South Korea,United States,2010.0,,62.0,?,Standard Missile-2MR,SAM,62.0,?,2012,New,$67 m deal; SM-2 Block-3A and SM-2 Block-3B versions; for KDX-3 destroyers,0.3,18.6,18.6
South Korea,United States,2011.0,,19.0,,Standard Missile-2MR,SAM,19.0,?,2013,New,SM-2 Block-3B version,0.3,5.7,5.7
South Korea,United States,2016.0,?,17.0,,Standard Missile-2MR,SAM,17.0,,2021,New,SM-2MR Block-3B version,0.3,5.1,5.1
South Korea,United States,2018.0,?,,,Standard Missile-2MR,SAM,0.0,,,New,For KDX-3 destroyers,0.3,0.0,0.0
South Korea,United States,2023.0,?,38.0,?,SM-6,SAM/ABM,0.0,,,New,For KDX-3 destroyers,0.0,0.0,0.0
South Korea,United States,2009.0,?,40.0,?,AAQ-33 Sniper ATP,aircraft EO system,40.0,?,2010; 2011; 2012; 2013,New,For F-15K combat aircraft,1.0,40.0,40.0
South Korea,United States,2013.0,,50.0,?,AAQ-33 Sniper ATP,aircraft EO system,50.0,?,2015; 2016; 2017,New,For F-16C and F-15K combat aircraft,1.0,50.0,50.0
South Korea,United States,2002.0,?,9.0,,SPG-62,fire control radar,9.0,,2008; 2010; 2012,New,For 3 KDX-3 destroyers produced in South Korea,4.5,40.5,40.5
South Korea,United States,1994.0,,3.0,,SPS-49,air search radar,3.0,,1998; 1999; 2000,New,For 3 KDX-1 (Kwanggaeto the Great) frigates produced in South Korea; AN/SPS-49(V)5 version,5.0,15.0,15.0
South Korea,United States,1999.0,?,3.0,,SPS-49,air search radar,3.0,,2003; 2004; 2005,New,For 3 KDX-2 frigates produced in South Korea; AN/SPS-49(V)5 version,5.0,15.0,15.0
South Korea,United States,2002.0,?,3.0,,SPS-67,sea search radar,3.0,,2008; 2010; 2012,New,For 3 KDX-3 destroyers produced in South Korea,1.0,3.0,3.0
South Korea,United States,2002.0,?,3.0,,SPY-1D,air search radar,3.0,,2008; 2010; 2012,New,For 3 KDX-3 destroyers produced in South Korea,22.0,66.0,66.0
South Korea,United States,2016.0,,3.0,,SPY-1D,air search radar,0.0,,,New,For 3 KDX-3 destroyers produced in South Korea,22.0,66.0,0.0
South Korea,United States,2002.0,?,3.0,,SQS-53,ASW sonar,3.0,,2008; 2010; 2012,New,For 3 KDX-3 destroyers produced in South Korea; SQS-53C version,7.5,22.5,22.5
South Korea,United States,2015.0,,63.0,,Stinger,portable SAM,63.0,?,2016; 2017,New,Part of $35 m deal; for AH-64E combat helicopters,0.08,5.04,5.04
South Korea,United States,1996.0,,30.0,,T-38A Talon,trainer aircraft,30.0,,1999,Second hand,Second-hand; $86 m lease,1.32,39.6,39.6
South Korea,United States,2002.0,,40.0,?,Tiger Eyes,aircraft EO system,40.0,?,2005; 2006; 2007; 2008,New,$164 m deal; for F-15K combat aircraft,3.0,120.0,120.0
South Korea,United States,2000.0,,270.0,?,BGM-71 TOW,anti-tank missile,270.0,?,2001; 2002,New,BGM-71E TOW-2A and/or BGM-71F TOW-2B version (possibly incl or only practice TOW-2A missiles),0.01,2.7,2.7
South Korea,United States,1992.0,,11.0,?,TPQ-36 Firefinder,artillery locating radar,11.0,?,1994; 1995,New,,3.0,33.0,33.0
South Korea,United States,1994.0,,4.0,?,TPQ-37 Firefinder,artillery locating radar,4.0,,1995,New,$106 m deal,8.0,32.0,32.0
South Korea,United States,1990.0,,3.0,,TPS-77,air search radar,3.0,?,1992; 1993; 1994,New,AN/FPS-117(V)1 version,11.0,33.0,33.0
South Korea,United States,2000.0,,4.0,,TPS-77,air search radar,4.0,?,2002,New,$54 m deal (offsets incl production of components in South Korea),11.0,44.0,44.0
South Korea,United States,2002.0,,3.0,,TPS-77,air search radar,3.0,?,2004,New,$39 m deal (offsets incl production of components in South Korea),11.0,33.0,33.0
South Korea,United States,2023.0,?,6.0,?,V2500,turbofan,0.0,,,New,For 3 C-390 transport aircraft from Brazil,3.0,18.0,0.0
South Korea,unknown supplier(s),2003.0,?,10.0,?,An-2,light transport aircraft,10.0,?,2003; 2004; 2005,Second hand,Second-hand; for training (simulating North Korean forces),0.4,4.0,4.0
