Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Afghanistan,United States,2011,,240,,ASV-150/M-1117,APC,240,?,2012; 2013,New,$257 m deal; MSFV version; incl command; ARV; AEV; ambulance and mortar carrier versions,0.45,108,108
Afghanistan,United States,2012,,71,,ASV-150/M-1117,APC,71,?,2014,New,$79 m deal; MSFV version,0.45,31.95,31.95
Afghanistan,United States,2013,,135,,ASV-150/M-1117,APC,135,?,2014; 2015,New,$113 m deal; MSFV version,0.45,60.75,60.75
Afghanistan,United States,2012,?,136,?,ASV-150/M-1117,APC,136,?,2013; 2014,New,MSFV version,0.45,61.2,61.2
Afghanistan,United States,2015,,55,,ASV-150/M-1117,APC,55,,2015,New,,0.45,24.75,24.75
Afghanistan,United States,2017,,55,?,ASV-150/M-1117,APC,55,,2018; 2019,New,,0.45,24.75,24.75
Afghanistan,United States,2019,?,55,?,ASV-150/M-1117,APC,55,?,2020,New,Aid; MSFV version,0.45,24.75,24.75
Afghanistan,United States,2012,?,4,,C-130H Hercules,transport aircraft,4,,2013; 2014; 2015,Second hand,Second-hand; aid,11.2,44.8,44.8
Afghanistan,United States,2011,,6,,Cessna-180 Skywagon,light aircraft,6,?,2011,New,Part of $88 m deal; Cessna-182T version; for training,0.18,1.08,1.08
Afghanistan,United States,2011,,26,,Cessna-208 Caravan,light transport aircraft,26,?,2011; 2012,New,Part of $88 m deal; probably aid; Cessna-208B version,1,26,26
Afghanistan,United States,2018,,10,,Cessna-208 Caravan,light transport aircraft,10,?,2018; 2019; 2020,New,$86 m deal; aid; armed Cessna-208B version,1,10,10
Afghanistan,United States,2006,,800,?,HMMWV-UA,APV,800,?,2007; 2008,Second hand,Second-hand; aid,0.05,41.6,41.6
Afghanistan,United States,2008,,4735,?,HMMWV-UA,APV,4735,?,2008; 2009; 2010; 2011,New,$760 m deal; aid; M-1151 and M-1152 versions,0.13,615.55,615.55
Afghanistan,United States,2010,,4002,,HMMWV-UA,APV,4002,?,2011; 2012; 2013,New,Part of $1 b deal; M-1152A1B2 version; incl for police,0.13,520.26,520.26
Afghanistan,United States,2010,,237,?,HMMWV-UA,APV,237,?,2012,New,$45 m deal; incl 137 M-1152 and 100 M-1151 version,0.13,30.81,30.81
Afghanistan,United States,2010,,2566,,HMMWV-UA,APV,2566,?,2011; 2012,Second hand,Second-hand; M-1114 version,0.05,133.43,133.43
Afghanistan,United States,2011,,744,?,HMMWV-UA,APV,744,?,2012,New,,0.13,96.72,96.72
Afghanistan,United States,2016,,1673,,HMMWV-UA,APV,1673,?,2016; 2017,New,$356 m deal; incl 1259 M-1151A1B1 and 414 M-1151A1B2 version,0.13,217.49,217.49
Afghanistan,United States,2016,,433,,HMMWV-UA,APV,433,,2017,New,$109 m deal; incl 360 M-1152A1B2 and 73 M-1151A1B1 version,0.13,56.29,56.29
