Qatar,Belgium,1996,,36,,LCTS-90 90mm,tank turret,36,?,1998; 1999,New,For 36 Piranha AFSV from UK,0.7,25.2,25.2
Qatar,Brazil,1991,?,18,?,ASTROS-2,self-propelled MRL,18,?,1992,New,,0.95,17.1,17.1
Qatar,Brazil,1978,,20,?,EE-9 Cascavel,armoured car,20,?,1979,New,,0.72,14.4,14.4
Qatar,Brazil,1991,,3,?,Fieldguard,fire control radar,3,?,1992,New,For use in TECTRAN fire control system for Brazilian supplied ASTROS-2 MRL,2,6,6
Qatar,Canada,2012,,24,?,aircraft engine,aircraft engine,24,?,2014; 2015; 2016,New,Pratt & Whitney Canada PT-6A-68B (1600hp) turboprop; for 24 PC-21 trainer aircraft from Switzerland,0.5,12,12
Qatar,Canada,2018,,2,?,DHC-6 Twin Otter,transport aircraft,2,,2019,New,DHC-6-400 version,2.5,5,5
Qatar,China,2016,?,48,?,BP-12A,SSM,48,?,2017; 2018,New,For SY-400 MRL,2.25,108,108
Qatar,China,2016,,8,?,SY-400,self-propelled MRL,8,?,2017; 2018,New,,1.2,9.6,9.6
Qatar,France,2015,,300,,AASM Hammer,ASM,300,?,2019; 2020,New,For Rafale combat aircraft,0.2,60,60
Qatar,France,1979,,6,,Alpha Jet,trainer/combat aircraft,6,?,1980; 1981,New,,9,54,54
Qatar,France,1981,?,20,?,AM-39 Exocet,anti-ship missile,20,?,1984,New,For Commando-3 helicopters,0.75,15,15
Qatar,France,2015,,60,,AM-39 Exocet,anti-ship missile,60,?,2019; 2020,New,AM-39 Block-2 Mod-2 version; for Rafale combat aircraft,0.75,45,45
Qatar,France,1975,?,30,,AMX-10P,IFV,30,?,1977; 1978,New,Incl some AMX-10PC CP version,0.9,27,27
Qatar,France,1987,,6,,AMX-10P,IFV,6,,1988,New,Incl 1 AMX-10PC CP version,0.9,5.4,5.4
Qatar,France,1989,?,12,,AMX-10RC,armoured car,12,?,1992,New,Taken from production for French army to ensure fast delivery,1.2,14.4,14.4
Qatar,France,1975,,24,,AMX-30B,tank,24,,1977,New,,1.8,43.2,43.2
Qatar,France,1997,?,10,,AMX-30B,tank,10,,1998,Second hand,Second-hand; aid,0.72,7.2,7.2
Qatar,France,1975,,1,,AMX-30D,ARV,1,,1977,New,,1.4,1.4,1.4
Qatar,France,1979,?,16,?,AMX-Mk-F3 155mm,self-propelled gun,16,?,1980; 1983,New,,0.8,12.8,12.8
Qatar,France,1987,,6,,AMX-Mk-F3 155mm,self-propelled gun,6,?,1988,New,,0.8,4.8,4.8
Qatar,France,1979,?,10,?,AMX-VCI,APC,10,?,1980,New,No. could be 33,0.3,3,3
Qatar,France,2018,,16,,AS-350/AS-550 Fennec,light helicopter,16,?,2018; 2019; 2020,New,H125 version,0.9,14.4,14.4
Qatar,France,1980,,3,,Combattante-3,FAC,3,,1982; 1983,New,Qatari designation Damsah,57,171,171
Qatar,France,1999,,500,?,Eryx,anti-tank missile,500,?,1999; 2000,New,Recipient uncertain (could be other GCC country),0.01,5,5
Qatar,France,1980,,4,?,Exocet CDS,coastal defence system,4,?,1983; 1984,New,,15,60,60
Qatar,France,2016,,2,?,Exocet CDS,coastal defence system,2,?,2022; 2023,New,Incl for use with Marte-ER anti-ship missiles; EUR640 m deal,15,30,30
Qatar,France,1980,,50,?,MM-40 Exocet,anti-ship missile,50,?,1982; 1983,New,For Combattante-3 (Damsah) FAC,0.9,45,45
Qatar,France,1980,,100,?,MM-40 Exocet,anti-ship missile,100,?,1983; 1984,New,For coastal defence systems,0.9,90,90
Qatar,France,1992,,70,?,MM-40 Exocet,anti-ship missile,70,?,1997,New,For Vita (Barzan) FAC,0.9,63,63
Qatar,France,2010,,70,?,MM-40-3 Exocet,anti-ship/land-attack missile,70,?,2012; 2013,New,For Barzan (Vita) FAC,1,70,70
Qatar,France,2016,,20,?,MM-40-3 Exocet,anti-ship/land-attack missile,20,?,2022; 2023,New,For Exocet coastal defence systems,1,20,20
Qatar,France,2016,?,80,?,MM-40-3 Exocet,anti-ship/land-attack missile,80,?,2021; 2022; 2023,New,For Fincantieri-3000 frigates and Fincantieri-700 corvettes from Italy,1,80,80
Qatar,France,2011,,22,,Higuard,APC,22,,2012; 2013,New,For internal security force,0.4,8.8,8.8
