Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
France,Austria,2005,,2,,A-340,transport aircraft,2,?,2006; 2007,Second hand,Second-hand; 'TLRA' programme; 5-9-year lease (with option to buy) via French and Portugese company; A-340-211 version,54,108,108
France,Austria,2011,?,1,,Camcopter S-100,UAV,1,,2012,New,,0.2,0.2,0.2
France,Austria,2018,,1,,Camcopter S-100,UAV,1,,2018,New,,0.2,0.2,0.2
France,Austria,2019,?,4,,Camcopter S-100,UAV,4,,2020,New,For use on Mistral AALS,0.2,0.8,0.8
Germany,Austria,2021,?,1,,DA62,light aircraft,1,,2022,New,DA62 MPP version; owned and operated by German company for training of German and other armed forces in Germany,0.6,0.6,0.6
Gabon,Austria,1976,,6,?,CM-170 Magister,trainer aircraft,6,?,1978,Second hand,Second-hand; sold to via French producer and modernized in France before delivery; for Presidential Guard,0.4,2.4,2.4
Gabon,Austria,2003,?,1,?,Pandur,APC,1,,2004,New,,0.3,0.3,0.3
Guinea-Bissau,Angola,1980,,1,,Do-27,light transport aircraft,1,,1980,Second hand,Second-hand; status uncertain,0.05,0.05,0.05
Ghana,Austria,2011,?,2,,DA42MPP,reconnaissance aircraft,2,,2011,New,EUR11.8 m deal,0.5,1,1
Ghana,Austria,2012,?,3,?,DA42MPP,reconnaissance aircraft,3,,2012,New,Incl 2 for maritime patrol,0.5,1.5,1.5
Ghana,Australia,2004,,2,,SB7L-360 Seeker,light aircraft,2,?,2006,New,From Jordanian production line,0.11,0.22,0.22
Greece,Austria,1981,,100,,4K-4F,APC,100,?,1982; 1983; 1984,New,Produced under licence in Greece; Greek designation Leonidas-1,0.3,30,30
Greece,Austria,1987,,344,?,4K-7FA,APC,344,?,1988; 1989; 1990; 1991; 1992; 1993; 1994,New,Produced under licence in Greece; Greek designation Leonidas-2,0.3,103.2,103.2
Honduras,Argentina,1980,?,60,?,MO-120-M65 120mm,mortar,60,?,1981; 1982; 1983,New,,0.25,15,15
India,Australia,1970,?,10,,Canberra B-2,bomber aircraft,10,?,1970; 1971,Second hand,Second-hand; Canberra B(-20 version,3.4,34,34
India,Australia,2001,?,2,,Thornycroft 26m,patrol craft,2,,2002,New,Assembled from kits in India; for coast guard,8.3,16.6,16.6
India,Australia,2004,?,11,,Thornycroft 26m,patrol craft,11,?,2006; 2007; 2008; 2009; 2010; 2011,New,For coast guard,8.3,91.3,91.3
Indonesia,Austria,2016,,3,,Pandur-2,APC,3,?,2017,New,Probably from Czech production line,0.3,0.9,0.9
Indonesia,Austria,2016,,1,,Pandur-2 FSV,AFSV,1,?,2017,New,From Czech production line,0.45,0.45,0.45
Indonesia,Austria,2019,,23,,Pandur-2,IFV,11,?,2023,New,$80 m deal; from Czech production line; Indonesian designation Cobra,0.65,14.95,7.15
Indonesia,Australia,1981,?,3,,Attack,patrol craft,3,,1982; 1983,Second hand but modernized,Second-hand but modernized before delivery; Indonesian designation Sibarau,3.96,11.88,11.88
