Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Portugal,Austria,2005,,158,,Pandur-2,APC,158,?,2007; 2008; 2009; 2010; 2011; 2014; 2016,New,Incl assembly/production under licence in Portugal; incl ambulance; ARV; command post; mortar carrier and anti-tank versions,0.3,47.4,47.4
Portugal,Austria,2005,,30,,Pandur-2,IFV,30,?,2009; 2010; 2011; 2016,New,Incl assembly/production under licence in Portugal,1.25,37.5,37.5
Western Sahara,Algeria,2016,?,3,?,BTR-60PB,APC,3,?,2016,Second hand,Second-hand; aid,0.1,0.3,0.3
Samoa,Australia,1985,,1,,ASI-315,patrol craft,1,,1988,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Samoan designation Nafanua,6,6,6
Samoa,Australia,2014,,1,,Guardian,patrol craft,1,,2019,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,7,7
Saudi Arabia,Austria,1989,,5,?,GC-45 155mm,towed gun,5,?,1990,New,Original order for 50; rest cancelled after withdrawal of export licence in 1990,1,5,5
Saudi Arabia,Austria,2008,?,37,?,M12 120mm,mortar,37,,2010,New,,0.4,14.8,14.8
Saudi Arabia,Austria,2014,,50,?,MMV,APC,50,?,2015; 2016,New,,0.14,7,7
Singapore,Australia,2009,,100,,R-600,IFV turret,100,?,2010; 2011,New,AUD28 m ($22 m) deal; for Terrex APC/IFV produced in Singapore,0.6,60,60
Singapore,Australia,2012,,35,?,R-600,IFV turret,35,?,2012; 2013,New,AUD25 m ($27 m) deal; for Terrex APC/IFV produced in Singapore,0.6,21,21
Slovenia,Austria,1998,,36,,Pandur,APC,36,?,1999; 2000; 2001; 2002; 2003,New,Hull produced and vehicle assembled in Slovenia; Slovenian designation Valuk,0.3,10.8,10.8
Slovenia,Austria,2003,,36,,Pandur,APC,36,?,2004; 2005; 2006; 2007,New,Hull produced and vehicle assembled in Slovenia; Slovenian designation Valuk,0.3,10.8,10.8
Solomon Islands,Australia,1985,,1,,ASI-315,patrol craft,1,,1988,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Solomon Islands designation Lata,6,6,6
Solomon Islands,Australia,1989,?,1,,ASI-315,patrol craft,1,,1991,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Solomon Islands designation Lata,6,6,6
Solomon Islands,Australia,2014,,2,,Guardian,patrol craft,2,,2019; 2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,14,14
Spain,Austria,2003,,100,?,SP30,IFV turret,100,?,2009; 2010; 2011; 2012; 2013,New,For some 100 ASCOD (Pizarro) IFV produced in Spain,0.6,60,60
Sri Lanka,Argentina,1992,,4,,IA-58A Pucara,ground attack aircraft,4,,1993; 1994,New,$11 m deal; produced 1980s on speculation for export and sold to Sri Lanka 1992,4.3,17.2,17.2
Sri Lanka,Australia,2014,?,2,,Bay,patrol craft,2,,2014,Second hand,Second-hand; aid,2.6,5.2,5.2
Sudan,Armenia,2005,?,1,,An-32,transport aircraft,1,,2006,Second hand,Second-hand; probably; ordered via Ukraine; modernized before delivery in Ukraine; for police,4.4,4.4,4.4
Sweden,Austria,1990,,8,,Bell-204B/UH-1B,helicopter,8,?,1990,Second hand,Second-hand; AB-204B version; Swedish designation Hkp-3B,0.84,6.72,6.72
Sweden,Australia,2003,,2,,Saab-340,transport aircraft,2,,2003,Second hand,Second-hand; Saab-340BPlus version; Swedish designation Tp-100C,2.8,5.6,5.6
Thailand,Austria,2019,,6,,Camcopter S-100,UAV,6,?,2020; 2021,New,THB600 m ($19 m) deal,0.2,1.2,1.2
Thailand,Austria,2022,,,,Camcopter S-100,UAV,0,,,New,,0.2,0,0
Thailand,Austria,2019,,8,,DA40,light aircraft,8,,2020,New,DA40NG version; for training,0.15,1.2,1.2
Thailand,Austria,2008,,6,,DA42,light aircraft,6,,2009,New,For training,0.35,2.1,2.1
Thailand,Austria,2019,,4,,DA42,light aircraft,4,?,2021,New,DA42VI version; for training,0.35,1.4,1.4
Thailand,Austria,2009,?,6,,DA42,light aircraft,6,,2010,New,For training,0.35,2.1,2.1
Thailand,Austria,2010,?,3,,DA42MPP,reconnaissance aircraft,3,?,2011,New,,0.5,1.5,1.5
Thailand,Austria,2010,,2,,DA42MPP,reconnaissance aircraft,2,,2010,New,,0.5,1,1
Thailand,Austria,2018,?,3,,DA42MPP,reconnaissance aircraft,3,?,2020,New,,0.5,1.5,1.5
Thailand,Austria,2020,,3,,DA42MPP,reconnaissance aircraft,3,,2022,New,THB400 m ($13 m) deal,0.5,1.5,1.5
Thailand,Austria,1987,,6,,GC-45 155mm,towed gun,6,,1988,New,$7 m deal; GHN-45 version,1,6,6
Thailand,Austria,1995,,18,,GC-45 155mm,towed gun,18,,1996,New,GHN-45 version; ordered from Swiss company,1,18,18
Thailand,Austria,1997,,18,,GC-45 155mm,towed gun,18,,1998,New,GHN-45 version; ordered via Swiss company,1,18,18
Thailand,Australia,1981,,21,,Nomad,light transport aircraft,21,?,1982; 1983; 1984,New,$33 m deal; possibly incl 4 second-hand,1.5,31.5,31.5
Thailand,Australia,1983,,6,,Nomad,light transport aircraft,6,,1984,New,Possibly second-hand; N-24A version,1.5,9,9
Thailand,Australia,1984,,1,,Nomad Searchmaster-L,maritime patrol aircraft,1,?,1985,New,For anti-piracy patrols; financed by UN High Commission for Refugees,2.5,2.5,2.5
Tonga,Australia,1988,,3,,ASI-315,patrol craft,3,,1989; 1990; 1991,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Tongan designation Neiafu,6,18,18
Tonga,Australia,2014,,1,,Forgacs 30m,landing craft,1,,2015,New,Aid; Tongan designation Late,5.4,5.4,5.4
Tonga,Australia,2014,,2,,Guardian,patrol craft,2,,2019; 2020,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,14,14
Trinidad and Tobago,Australia,2008,,6,,Austal-30m,patrol craft,6,,2010,New,For coast guard,4,24,24
Trinidad and Tobago,Australia,2019,,2,,Cape,patrol craft,2,,2021,New,AUD126 m ($85 m) deal; for coast guard; Trinidad designation Port of Spain,16,32,32
Turkmenistan,Austria,2010,?,10,?,Survivor-2,APC,10,?,2011,New,,0.32,3.2,3.2
Tunisia,Austria,2017,,2,?,Camcopter S-100,UAV,2,?,2018,New,,0.2,0.4,0.4
Tunisia,Austria,1996,,26,,M-30 107mm,mortar,26,,1997,Second hand,Second-hand,0.1,2.6,2.6
Tunisia,Austria,1976,,54,,SK-105 Kurassier,light tank,54,,1979,New,,0.7,37.8,37.8
Tuvalu,Australia,1992,,1,,ASI-315,patrol craft,1,,1994,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Tuvaluan designation Te Mataili,6,6,6
Tuvalu,Australia,2014,,1,,Guardian,patrol craft,1,,2019,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7,7,7
UAE,Austria,2006,,60,,Camcopter S-100,UAV,60,?,2006; 2007; 2008; 2009; 2010,New,Incl production of components and/or production under licence in UAE; UAE designation Al Saber,0.2,12,12
UAE,Australia,2019,,,,R-400S,IFV turret,100,?,2019,New,AED1.6 b ($316 m) deal; probably incl for Nimr APC/IFV produced in UAE,0.6,0,60
Uganda,Austria,2009,,6,,Bell-206/OH-58,light helicopter,6,?,2009; 2010,Second hand,Second-hand; AB-2016B-3 version; delivered via FRG company,0.28,1.68,1.68
Uganda,Austria,2017,?,1,,DA42,light aircraft,1,,2018,New,,0.35,0.35,0.35
Uganda,Austria,2022,?,1,,Skyvan,light transport aircraft,1,,2022,Second hand,,1,1,1
United Kingdom,Austria,2023,,1,,Camcopter S-100,UAV,0,,,New,GBP20 m ($24 m) 'Peregrine' programme; for use on Type-26 frigates; delivery planned 2024,0.2,0.2,0
United Kingdom,Austria,2008,,2,,DA42,light aircraft,2,,2008,New,Modified in UK to reconnaissance aircraft; incl for use in Iraq and for training; owned and operated by UK company for UK air force,0.35,0.7,0.7
United Kingdom,Austria,2008,,1,,DA42MPP,reconnaissance aircraft,1,,2008,New,For use in Iraq; owned and operated by UK company for UK air force,0.5,0.5,0.5
United Kingdom,Australia,2008,,24,,Bushmaster,APC,24,?,2008,New,AUD33 m deal; for use in Afghanistan,0.32,7.68,7.68
United Kingdom,Australia,1977,,77,?,Ikara,ASW missile,77,?,1977; 1978; 1979; 1980; 1981; 1982,New,Ikara-2 version; produced in UK,0.6,46.2,46.2
United Kingdom,Australia,1970,?,600,?,Ikara,ASW missile,600,?,1973; 1974; 1975; 1976; 1977,New,,0.6,360,360
United Kingdom,Australia,1960,,400,,Malkara-1,anti-tank missile,400,?,1961; 1962,New,GBP1 m deal; for Hornet tank-destroyer,0.01,4,4
United Kingdom,Australia,1955,?,1,,Tide,replenishment ship,1,,1955,New,Australian designation Supply; built for Australia but after completion in 1955 on loan to UK until 1962,125,125,125
Ukraine,Argentina,2023,,2,,Mi-17,transport helicopter,0,,,Second hand,Second-hand; aid after Russian 2022 invasion of Ukraine; Mi-171E version,2.9,5.8,0
Ukraine,Australia,2022,,120,,Bushmaster,APC,120,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 ambulance version,0.14,16.8,16.8
Ukraine,Australia,2023,,100,?,R-800,IFV turret,0,,,New,$80 m deal; for IFVs; designation uncertain (reported as 'heavy Remote Weapon Systems'),0,0,0
Ukraine,Australia,2022,,6,,UFH/M-777 155mm,towed gun,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2.4,2.4
Ukraine,Australia,2022,,28,,Waran,APC,28,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-113AS4 version,0.14,3.92,3.92
Uruguay,Argentina,1979,?,3,,Beech-18/C-45,light transport aircraft,3,,1979,Second hand,Second-hand; TC-45H version,0.16,0.48,0.48
Uruguay,Argentina,1990,?,1,,PA-34 Seneca,light transport aircraft,1,,1991,New,,0.44,0.44,0.44
Uruguay,Argentina,1993,?,1,,PA-34 Seneca,light transport aircraft,1,,1994,New,,0.44,0.44,0.44
Uruguay,Argentina,2000,,1,,IA-58A Pucara,ground attack aircraft,1,,2000,Second hand,Second-hand; loan until 2001,2,2,2
Uruguay,Argentina,2002,,1,,IA-58A Pucara,ground attack aircraft,1,,2002,Second hand,Second-hand: loan until 2003,2,2,2
Uruguay,Argentina,1980,,6,,IA-58A Pucara,ground attack aircraft,6,,1981,New,$3.5 m deal; option on 2 more not used,4.3,25.8,25.8
Uruguay,Argentina,1979,,9,,T-28D,trainer/combat aircraft,9,,1979,Second hand,Second-hand; aid; T-28S version,0.7,6.3,6.3
Uruguay,Argentina,1969,?,2,,T-6 Texan,trainer aircraft,2,,1970,Second hand,Second-hand,0.1,0.2,0.2
United States,Austria,2010,?,10,,Camcopter S-100,UAV,10,?,2010; 2011,New,Ordered for evaluation in 'Yellow Jacket' programme,0.2,2,2
United States,Austria,2009,?,20,,DA40,light aircraft,20,,2009,New,Lease; or training; US designation T-52A,0.15,3,3
United States,Austria,1999,,33,?,Pandur,APC,33,?,2000; 2001; 2006; 2007,New,US designation AGMS (Armored Ground Mobility System),0.3,9.9,9.9
United States,Australia,1985,,7,,Boeing-707,transport aircraft,7,?,1986; 1987,Second hand,Second-hand; Boeing-707-338C version; modified in USA to E-8C J-STARS AEW&C aircraft,17.8,124.6,124.6
United States,Australia,1991,,7,,CH-47C Chinook,transport helicopter,7,?,1994; 1995,Second hand,Second-hand but modernized after delivery in USA to CH-47D,6,42,42
United States,Australia,2008,,1,,EPF,transport ship,1,,2012,New,$185 m deal (part 'JHSV' (Joint High Speed Vessel) programme); produced under licence in USA,30,30,30
United States,Australia,2009,,15,?,EPF,transport ship,12,,2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2023,New,Part 'JHSV' (Joint High Speed Vessel) programme; produced under licence in USA,30,450,360
United States,Australia,2003,,7,,GA-8 Airvan,light transport aircraft,7,?,2004,New,For Auxiliary Civil Air Patrol,0.24,1.68,1.68
United States,Australia,2002,,1,,Incat,transport ship,1,,2002,New,$80 m 3-year; US designation TSV-X1 and Spearhead,30,30,30
United States,Australia,2001,,1,,Incat,transport ship,1,,2001,New,$20 m 2-year lease; US designation HSV-X1 and Joint Venture,30,30,30
United States,Australia,2003,,1,,Incat,transport ship,1,,2003,New,5-year lease; incl for use as MCM support ship; US designation HSV-2 and Swift,30,30,30
United States,Australia,2011,,3,,KC-707,tanker/transport aircraft,3,,2011,Second hand,Second-hand; Boeing-707-338C version; owned and operated by US company and leased per hour to US and other armed forces,32,96,96
United States,Australia,2001,,1,,WestPac Express,transport ship,1,,2001,Second hand,Second-hand; lease,12,12,12
Vanuatu,Australia,1985,,1,,ASI-315,patrol craft,1,,1987,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Vanuatuan designation Tukoro,6,6,6
Vanuatu,Australia,2014,,1,,Guardian,patrol craft,1,,2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Vanuatu designation Takuare,7,7,7
Venezuela,Austria,2014,,24,,DA40,light aircraft,24,?,2014; 2015,New,DA40NG version; for training,0.15,3.6,3.6
Venezuela,Austria,2014,,6,,DA42,light aircraft,6,,2014; 2015,New,DA-42VI version; for training; delivery 2014-2015,0.35,2.1,2.1
Venezuela,Austria,2008,,6,,DA42MPP,reconnaissance aircraft,6,?,2009; 2010; 2011; 2012,New,Probably for MP,0.5,3,3
Yemen,Australia,2003,,10,,P-1022,patrol craft,10,,2005,New,AUD90 m ($55-70 m) deal,4.9,49,49
Yugoslavia,Austria,1962,?,500,?,vehicle engine,vehicle engine,500,?,1964; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975,New,FAMOS (140hp) deisel engien; for M-60P APC produced in Yugoslavia,0.01,5,5
