Bahrain,Oman,2005,,6,,Nimer-1,APC,6,?,2005,New,Recipient uncertain,0.14,0.84,0.84
Cambodia,Oman,1994,?,2,,BN-2 Islander,light transport aircraft,2,,1994,Second hand,Second-hand; armed BN-2 Defender version,0.24,0.48,0.48
Cyprus,Oman,2014,,1,,Al Said,training ship,1,,2017,Second hand,Second-hand; aid,7.02,7.02,7.02
Singapore,Oman,1977,,5,,Strikemaster,trainer/combat aircraft,5,,1977,Second hand,Second-hand; Strikemaster Mk-82 version,1,5,5
Sudan,Oman,1985,?,1,,DHC-5 Buffalo,transport aircraft,1,,1986,Second hand,Second-hand,5.29,5.29,5.29
