Senegal,Luxembourg,2005,,1,,BN-2 Islander,light transport aircraft,1,?,2007,Second hand,Second-hand; BN-2T version; modified for martime patrol after delivery,0.24,0.24,0.24
Seychelles,Libya,1980,,2,,Rallye-235,light aircraft,2,,1980,Second hand,Second-hand; aid,0.1,0.19,0.19
Somalia,Libya,1989,,32,,T-55,tank,32,,1990,Second hand,Second-hand,0.5,16,16
Sudan,Libya,1988,?,2,?,Mi-24D/Mi-25,combat helicopter,2,?,1989,Second hand,Second-hand,3.3,6.6,6.6
Sudan,Libya,1987,?,12,?,MiG-23MS,fighter aircraft,12,?,1988,Second hand,Second-hand; probably aid; operated by Libyan crews until 1990; incl 1 MiG-23UB trainer/combat version,5.2,62.4,62.4
Syria,Libya,1982,,15,?,MiG-21PF,fighter aircraft,15,?,1982,Second hand,Second-hand; aid; replacing losses during 1982 against Israel in Lebanon,3.9,58.5,58.5
Syria,Libya,1978,?,3,?,MiG-23BN,FGA aircraft,3,?,1979,New,Second-hand; aid,11.5,34.5,34.5
Syria,Libya,1982,,15,?,MiG-23MS,fighter aircraft,15,?,1982,Second hand,Second-hand; aid,5.2,78,78
Syria,Libya,1978,,200,?,T-62,tank,200,?,1979,New,Second-hand (but probably never used); aid,1.8,360,360
Togo,Libya,1982,?,3,?,EE-9 Cascavel,armoured car,3,?,1983,New,Second-hand (but probably never used by Libya); no. could be up to 36,0.75,2.25,2.25
Togo,Libya,1982,?,2,?,T-54,tank,2,?,1982,Second hand,Second-hand,0.44,0.88,0.88
Turkiye,Libya,1975,?,7,,F-5A Freedom Fighter,FGA aircraft,7,,1975,Second hand,Second-hand; incl 1 or 2 F-5B version; delivered while Turkey was under US arms embargo after invasion of Cyprus,3.2,22.4,22.4
UAE,Libya,2003,,9,?,CH-47C Chinook,transport helicopter,9,?,2006; 2009; 2010,Second hand,Second-hand; 8 modernized to CH-47C+ (CH-47D) in Italy before delivery (3 more delivered for spare parts only),6,54,54
Uganda,Libya,1986,?,3,,Bell-206/OH-58,light helicopter,3,,1987,Second hand,Second-hand; AB-206A (Bell-206A) version,0.28,0.84,0.84
Uganda,Libya,1986,?,3,,L-39Z Albatros,trainer/combat aircraft,3,,1987,Second hand,Second-hand; L-39ZA version,2,6,6
Uganda,Libya,1975,?,20,?,M-30 122mm,towed gun,20,?,1975,Second hand,Probably ex-Lybian,0.18,3.6,3.6
Uganda,Libya,2002,,5,?,MiG-23BN,FGA aircraft,2,?,2002,Second hand,Second-hand; probably aid,4.6,23,9.2
Uganda,Libya,1987,,2,?,SF-260,trainer aircraft,2,,1987,Second hand,Second-hand; aid; SF-260W armed version,0.1,0.19,0.19
Uganda,Libya,1976,?,10,?,T-34-85,tank,10,?,1976,Second hand,Supplier uncertain; second-hand,0.38,3.8,3.8
Ukraine,Latvia,2022,,6,,M-109A5 155mm,self-propelled gun,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109A5Oe version,0.5,3,3
Ukraine,Latvia,2022,,4,,Mi-17,transport helicopter,4,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 Mi-8MTV-1 version,2.9,11.6,11.6
Ukraine,Latvia,2022,,2,,Mi-2,light helicopter,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,0.88,0.88
Ukraine,Latvia,2022,,10,?,Penguin,UAV,10,?,2022,New,UAH651m ($17.5 m) deal; Penguin-C Mk-2 version,0.05,0.5,0.5
Ukraine,Latvia,2022,,12,?,Stinger,portable SAM,12,?,2022,Second hand,Second-hand; aid,0.03,0.38,0.38
Ukraine,Latvia,2022,?,20,?,Stinger,portable SAM,20,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0.64,0.64
Ukraine,Lithuania,2022,,30,?,2B11 120mm,mortar,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '120mm mortar'),0.1,3,3
Ukraine,Lithuania,2021,,1,,L-39Z Albatros,trainer/combat aircraft,1,,2021,Second hand,Second-hand; aid; L-39ZA version,2,2,2
Ukraine,Lithuania,2022,,18,?,M-101A1 105mm,towed gun,18,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.18,3.24,3.24
Ukraine,Lithuania,2022,,72,,M-113,APC,72,,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl M-577 command post and probably mortar carrier and artillery observation/command versions,0.1,7.2,7.2
Ukraine,Lithuania,2022,?,2,,Mi-17,transport helicopter,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mi-8 version,2.9,5.8,5.8
Ukraine,Lithuania,2022,,25,?,Stinger,portable SAM,25,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0.8,0.8
