Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
ARM,Russia,1993,?,945,,Fagot,anti-tank missile,945,?,1993; 1994; 1995; 1996,Second hand,Second-hand; designation uncertain; possibly incl some AT-5 missiles; illegal transfer,0,3.78,3.78
ARM,Russia,1995,?,200,,Igla,portable SAM,200,?,1995; 1996,New,Second-hand; illegal transfer; transfer also includes 40 launchers,0.08,16,16
ARM,Russia,2012,?,200,?,Igla-S,portable SAM,200,?,2013,New,Designation uncertain (reported as 'missiles'),0.08,16,16
ARM,Russia,2015,,200,?,Igla-S,portable SAM,200,,2016,New,,0.08,16,16
ARM,Russia,2004,,2,,Il-76M,heavy transport aircraft,2,,2004,Second hand,Probably second-hand; part of 'Collective Security Treaty Organisation' cooperation agreement,34,68,68
ARM,Russia,2013,?,4,?,9P78 Iskander,SSM TEL,4,?,2016,New,,1,4,4
ARM,Russia,2017,?,100,?,Kornet,anti-tank missile,100,?,2017,New,Kornet-E version,0.04,4,4
ARM,Russia,2020,?,4,?,Mi-17,transport helicopter,4,,2022,New,Armed Mi-8MTV-5 version,7.25,29,29
ARM,Russia,1995,?,24,?,R-17 Elbrus,SSM,24,,1996,Second hand,Second-hand; illegal transfer,0.5,12,12
ARM,Russia,2007,?,2,?,S-300PS,SAM system,2,?,2009; 2010,Second hand,Second-hand,17,34,34
ARM,Russia,2015,,6,?,BM-9A52 Smerch,self-propelled MRL,6,?,2016; 2017,New,,1.2,7.2,7.2
ARM,Russia,2019,,4,,Su-30K,FGA aircraft,4,,2019,New,$120 m deal; Su-30SM version,47.5,190,190
ARM,Russia,1994,,84,,T-72,tank,84,?,1994; 1995; 1996,Second hand,Second-hand; illegal transfer,0.86,71.9,71.9
ARM,Russia,2012,?,35,?,T-72M1,tank,0,,,Second hand,Designation uncertain (reported as 'battle tanks'); probably second-hand,1.04,36.4,0
ARM,Russia,2014,,1,,T-90S,tank,1,,2016,New,Gift as price for Armenian tank crew coming 2nd place during Russian tank competition 2014,4,4,4
ARM,Russia,2010,?,10,?,Tigr,APV,10,?,2011,New,Possibly for police,0.15,1.5,1.5
ARM,Russia,2018,?,2,?,Tor-M1,mobile SAM system,2,?,2019,New,Tor-M2KM version,12.5,25,25
ARM,Russia,2016,,200,?,Verba,portable SAM,200,?,2016; 2017,New,,0.09,18,18
ARM,Slovakia,2004,,10,,Su-25,ground attack aircraft,10,?,2004,Second hand,Second-hand; SKK34 m ($8 m) deal; Su-25K version (incl 1 Su-25UBK),4.6,46,46
ARM,Ukraine,2003,?,2,,L-39C Albatros,trainer aircraft,2,,2004,Second hand,Second-hand,1.8,3.6,3.6
ARM,Ukraine,2009,?,4,?,L-39C Albatros,trainer aircraft,4,,2010; 2011,Second hand,Second-hand,1.8,7.2,7.2
AZE,Belarus,2016,?,26,,2A36 Giatsint-B 152mm,towed gun,26,,2017,Second hand,Second-hand,0.4,10.4,10.4
AZE,Belarus,2008,?,3,?,2S7 Pion 203mm,self-propelled gun,3,,2008,Second hand,Second-hand,0.44,1.32,1.32
AZE,Belarus,2009,,9,?,2S7 Pion 203mm,self-propelled gun,9,,2009,Second hand,Second-hand,0.44,3.96,3.96
AZE,Belarus,2017,?,300,?,A200,guided rocket,300,?,2018,New,For Polonez MRL,0.1,30,30
AZE,Belarus,2012,,2,?,Buk-1M,SAM system,2,,2013; 2014,Second hand but modernized,Second-hand but modernized before delivery to Buk-MB version,33,66,66
