Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
Canada,SM-2MR,SAM,Missiles,1996,No,10,Yes,1997,Yes,New,0.3,0.3,3,No
Canada,SM-2MR,SAM,Missiles,1996,No,11,Yes,1998,No,New,0.3,0.3,3.3,No
Canada,SM-2MR,SAM,Missiles,2002,No,12,No,2006,No,New,0.3,0.3,3.6,No
Canada,Sniper,aircraft EO system,Sensors,2007,No,18,Yes,2007,No,New,1,1,18,No
Canada,Sniper,aircraft EO system,Sensors,2007,No,18,Yes,2008,Yes,New,1,1,18,No
Canada,SPS-10,sea search radar,Sensors,1953,Yes,2,No,1958,No,New,1.5,1.5,3,No
Canada,SPS-10,sea search radar,Sensors,1953,Yes,5,No,1959,No,New,1.5,1.5,7.5,No
Canada,SPS-10,sea search radar,Sensors,1950,Yes,1,No,1955,No,New,1.5,1.5,1.5,No
Canada,SPS-10,sea search radar,Sensors,1950,Yes,3,No,1956,No,New,1.5,1.5,4.5,No
Canada,SPS-10,sea search radar,Sensors,1950,Yes,3,No,1957,No,New,1.5,1.5,4.5,No
Canada,SPS-10,sea search radar,Sensors,1958,Yes,2,No,1964,No,New,1.5,1.5,3,No
Canada,SPS-10,sea search radar,Sensors,1958,Yes,1,No,1962,No,New,1.5,1.5,1.5,No
Canada,SPS-10,sea search radar,Sensors,1958,Yes,3,No,1963,No,New,1.5,1.5,4.5,No
Canada,SPS-12,air search radar,Sensors,1953,Yes,2,No,1958,No,New,3.5,3.5,7,No
Canada,SPS-12,air search radar,Sensors,1953,Yes,5,No,1959,No,New,3.5,3.5,17.5,No
Canada,SPS-12,air search radar,Sensors,1950,Yes,3,No,1956,No,New,3.5,3.5,10.5,No
Canada,SPS-12,air search radar,Sensors,1950,Yes,3,No,1957,No,New,3.5,3.5,10.5,No
Canada,SPS-12,air search radar,Sensors,1950,Yes,1,No,1955,No,New,3.5,3.5,3.5,No
Canada,SPS-12,air search radar,Sensors,1958,Yes,2,No,1964,No,New,3.5,3.5,7,No
Canada,SPS-12,air search radar,Sensors,1958,Yes,3,No,1963,No,New,3.5,3.5,10.5,No
Canada,SPS-12,air search radar,Sensors,1958,Yes,1,No,1962,No,New,3.5,3.5,3.5,No
Canada,SPS-49,air search radar,Sensors,1985,No,1,Yes,1992,Yes,New,5,5,5,No
Canada,SPS-49,air search radar,Sensors,1985,No,2,Yes,1993,Yes,New,5,5,10,No
Canada,SPS-49,air search radar,Sensors,1985,No,4,Yes,1994,Yes,New,5,5,20,No
Canada,SPS-49,air search radar,Sensors,1985,No,3,Yes,1995,Yes,New,5,5,15,No
Canada,SPS-49,air search radar,Sensors,1985,No,2,Yes,1996,Yes,New,5,5,10,No
Canada,T-33A,trainer aircraft,Aircraft,1947,Yes,30,No,1950,No,New,2.5,2.5,75,No
Canada,T-33A -,trainer aircraft,Aircraft,1947,Yes,96,Yes,1950,No,New,1.15,1.15,110.4,Yes
Canada,T-33A -,trainer aircraft,Aircraft,1947,Yes,96,Yes,1951,No,New,1.15,1.15,110.4,Yes
Canada,T-33A -,trainer aircraft,Aircraft,1947,Yes,96,Yes,1952,No,New,1.15,1.15,110.4,Yes
Canada,T-33A -,trainer aircraft,Aircraft,1947,Yes,96,Yes,1953,No,New,1.15,1.15,110.4,Yes
Canada,T-34,trainer aircraft,Aircraft,1954,Yes,25,No,1955,No,New,0.19,0.19,4.75,Yes
Canada,T-6 Texan,trainer aircraft,Aircraft,1951,No,80,Yes,1951,No,New,0.25,0.25,20,Yes
Canada,T-6 Texan,trainer aircraft,Aircraft,1951,No,80,Yes,1952,No,New,0.25,0.25,20,Yes
Canada,T-6 Texan,trainer aircraft,Aircraft,1951,No,80,Yes,1953,No,New,0.25,0.25,20,Yes
Canada,T-6 Texan,trainer aircraft,Aircraft,1951,No,30,Yes,1954,No,New,0.25,0.25,7.5,Yes
Canada,TAPV,APC,Armoured vehicles,2012,No,130,Yes,2016,No,New,0.5,0.5,65,Yes
Canada,TAPV,APC,Armoured vehicles,2012,No,259,Yes,2017,No,New,0.5,0.5,129.5,Yes
Canada,TAPV,APC,Armoured vehicles,2012,No,100,Yes,2018,No,New,0.5,0.5,50,Yes
Canada,TAPV,APC,Armoured vehicles,2012,No,11,Yes,2019,No,New,0.5,0.5,5.5,Yes
Canada,Tench,submarine,Ships,1967,Yes,1,No,1968,No,Second hand,39.33,15.73,15.73,No
Canada,TOW,anti-tank missile,Missiles,1978,No,1728,Yes,1979,No,New,0.01,0.01,17.28,No
Canada,TOW,anti-tank missile,Missiles,1973,Yes,74,Yes,1975,No,New,0.01,0.01,0.74,No
Canada,TOW,anti-tank missile,Missiles,1973,Yes,75,Yes,1976,No,New,0.01,0.01,0.75,No
Canada,TOW,anti-tank missile,Missiles,1985,No,1080,Yes,1987,No,New,0.01,0.01,10.8,No
Canada,TOW,anti-tank missile,Missiles,1985,No,1080,Yes,1988,No,New,0.01,0.01,10.8,No
Canada,TOW-2B,anti-tank missile,Missiles,2007,No,1000,Yes,2008,Yes,New,0.02,0.02,20,No
Canada,TOW-2B,anti-tank missile,Missiles,2007,No,1000,Yes,2009,Yes,New,0.02,0.02,20,No
Canada,TOW-2B,anti-tank missile,Missiles,2007,No,400,Yes,2010,Yes,New,0.02,0.02,8,No
Canada,TPS-70,air search radar,Sensors,1990,No,1,Yes,1992,Yes,New,11,11,11,No
Canada,TPS-70,air search radar,Sensors,1990,No,1,Yes,1993,Yes,New,11,11,11,No
Canada,TPS-77,air search radar,Sensors,1984,Yes,2,Yes,1986,Yes,New,11,11,22,No
