Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,18,Yes,2011,No,New,0.45,0.45,8.1,No
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,23,Yes,2012,No,New,0.45,0.45,10.35,No
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,120,Yes,2012,No,New,0.45,0.45,54,No
Afghanistan,ASV-150,APC,Armoured vehicles,2011,No,120,Yes,2013,No,New,0.45,0.45,54,No
Afghanistan,ASV-150,APC,Armoured vehicles,2012,No,71,Yes,2014,No,New,0.45,0.45,31.95,No
Afghanistan,ASV-150,APC,Armoured vehicles,2013,No,36,No,2014,No,New,0.45,0.45,16.2,No
Afghanistan,ASV-150,APC,Armoured vehicles,2013,No,99,Yes,2015,No,New,0.45,0.45,44.55,No
Afghanistan,ASV-150,APC,Armoured vehicles,2012,Yes,50,Yes,2013,No,New,0.45,0.45,22.5,No
Afghanistan,ASV-150,APC,Armoured vehicles,2012,Yes,86,Yes,2014,No,New,0.45,0.45,38.7,No
Afghanistan,ASV-150,APC,Armoured vehicles,2015,No,55,No,2015,No,New,0.45,0.45,24.75,No
Afghanistan,ASV-150,APC,Armoured vehicles,2017,No,15,No,2018,No,New,0.45,0.45,6.75,No
Afghanistan,ASV-150,APC,Armoured vehicles,2017,No,40,No,2019,No,New,0.45,0.45,18,No
Afghanistan,ASV-150,APC,Armoured vehicles,2019,Yes,55,Yes,2020,No,New,0.45,0.45,24.75,No
Afghanistan,C-130H Hercules,transport aircraft,Aircraft,2012,Yes,2,No,2013,No,Second hand,28,11.2,22.4,No
Afghanistan,C-130H Hercules,transport aircraft,Aircraft,2012,Yes,1,No,2014,No,Second hand,28,11.2,11.2,No
Afghanistan,C-130H Hercules,transport aircraft,Aircraft,2012,Yes,1,No,2015,No,Second hand,28,11.2,11.2,No
Afghanistan,Cessna-180 Skywagon,light aircraft,Aircraft,2011,No,6,Yes,2011,No,New,0.18,0.18,1.08,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2011,No,6,No,2011,No,New,1,1,6,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2011,No,20,Yes,2012,No,New,1,1,20,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2018,No,2,Yes,2018,Yes,New,1,1,2,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2018,No,6,Yes,2019,No,New,1,1,6,No
Afghanistan,Cessna-208 Caravan,light transport aircraft,Aircraft,2018,No,2,Yes,2020,No,New,1,1,2,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2006,No,400,Yes,2008,No,Second hand,0.13,0.05,20.8,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2006,No,400,Yes,2007,No,Second hand,0.13,0.05,20.8,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,1750,Yes,2010,No,New,0.13,0.13,227.5,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,400,Yes,2008,No,New,0.13,0.13,52,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,2000,Yes,2009,No,New,0.13,0.13,260,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2008,No,585,Yes,2011,No,New,0.13,0.13,76.05,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,2500,Yes,2011,No,New,0.13,0.13,325,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,1000,Yes,2012,No,New,0.13,0.13,130,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,502,Yes,2013,Yes,New,0.13,0.13,65.26,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,237,Yes,2012,Yes,New,0.13,0.13,30.81,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,1286,Yes,2011,No,Second hand,0.13,0.05,66.87,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2010,No,1280,Yes,2012,No,Second hand,0.13,0.05,66.56,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2011,No,744,Yes,2012,No,New,0.13,0.13,96.72,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2016,No,450,Yes,2016,No,New,0.13,0.13,58.5,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2016,No,1223,Yes,2017,No,New,0.13,0.13,158.99,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2016,No,433,No,2017,No,New,0.13,0.13,56.29,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,1800,Yes,2019,No,New,0.13,0.13,234,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,671,Yes,2018,No,New,0.13,0.13,87.23,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,1383,Yes,2020,No,New,0.13,0.13,179.79,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,446,Yes,2021,No,New,0.13,0.13,57.98,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,1200,Yes,2018,No,Second hand,0.13,0.05,62.4,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,200,Yes,2020,No,Second hand,0.13,0.05,10.4,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,222,Yes,2019,Yes,Second hand,0.13,0.05,11.54,No
Afghanistan,HMMWV-UA,APV,Armoured vehicles,2017,No,51,Yes,2021,Yes,Second hand,0.13,0.05,2.65,No
Afghanistan,M-113,APC,Armoured vehicles,2004,Yes,188,Yes,2005,No,Second hand,0.25,0.1,18.8,No
Afghanistan,MaxxPro,APC,Armoured vehicles,2014,No,222,No,2015,No,Second hand,0.32,0.13,28.42,No
Afghanistan,MD-500E,light helicopter,Aircraft,2011,No,6,No,2011,No,New,0.7,0.7,4.2,No
Afghanistan,MD-500E,light helicopter,Aircraft,2014,No,12,No,2015,No,New,0.7,0.7,8.4,No
Afghanistan,MD-500E,light helicopter,Aircraft,2015,Yes,12,No,2016,No,New,0.7,0.7,8.4,No
Afghanistan,MD-500E,light helicopter,Aircraft,2017,No,9,No,2018,No,New,0.7,0.7,6.3,No
Afghanistan,MD-500E,light helicopter,Aircraft,2017,No,21,No,2019,No,New,0.7,0.7,14.7,No
Afghanistan,MD-500E,light helicopter,Aircraft,2019,No,6,No,2020,No,New,0.7,0.7,4.2,No
Afghanistan,MD-500E,light helicopter,Aircraft,2019,No,6,No,2021,No,New,0.7,0.7,4.2,No
Afghanistan,Paveway,guided bomb,Missiles,2017,Yes,100,Yes,2018,No,New,0.02,0.02,2,No
Afghanistan,Paveway,guided bomb,Missiles,2017,Yes,50,Yes,2017,No,New,0.02,0.02,1,No
Afghanistan,Paveway,guided bomb,Missiles,2017,Yes,100,Yes,2019,Yes,New,0.02,0.02,2,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,4,No,2017,No,Second hand but modernized,6.5,4.29,17.16,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,27,Yes,2018,No,Second hand but modernized,6.5,4.29,115.83,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,19,Yes,2019,No,Second hand but modernized,6.5,4.29,81.51,No
Afghanistan,S-70A Black Hawk,transport helicopter,Aircraft,2016,No,3,Yes,2020,No,Second hand but modernized,6.5,4.29,12.87,No
Afghanistan,ScanEagle,UAV,Aircraft,2015,No,20,Yes,2016,No,New,0.04,0.04,0.8,No
Afghanistan,ScanEagle,UAV,Aircraft,2015,No,25,Yes,2017,No,New,0.04,0.04,1,No
Afghanistan,ScanEagle,UAV,Aircraft,2015,No,20,Yes,2018,No,New,0.04,0.04,0.8,No
Afghanistan,ScanEagle,UAV,Aircraft,2017,No,5,Yes,2018,No,New,0.04,0.04,0.2,No
Afghanistan,ScanEagle,UAV,Aircraft,2018,No,35,Yes,2019,No,New,0.04,0.04,1.4,No
Albania,HMMWV-UA,APV,Armoured vehicles,2017,No,31,Yes,2017,No,Second hand,0.13,0.05,1.61,No
Albania,HMMWV-UA,APV,Armoured vehicles,2017,No,47,Yes,2018,No,Second hand,0.13,0.05,2.44,No
Albania,HMMWV-UA,APV,Armoured vehicles,2017,No,25,Yes,2020,No,Second hand,0.13,0.05,1.3,No
Albania,MaxxPro,APC,Armoured vehicles,2016,No,3,No,2017,No,Second hand,0.32,0.13,0.38,No
Albania,MaxxPro,APC,Armoured vehicles,2018,No,37,No,2019,No,Second hand,0.32,0.13,4.74,No
Algeria,aircraft engine 1001-2000,aircraft engine,Engines,2012,No,6,Yes,2015,No,New,0.5,0.5,3,No
Algeria,aircraft engine 1001-2000,aircraft engine,Engines,2012,No,6,Yes,2016,No,New,0.5,0.5,3,No
Algeria,Beech-18,light transport aircraft,Aircraft,1962,No,2,No,1963,No,New,0.4,0.4,0.8,No
Algeria,Beech-1900,light transport aircraft,Aircraft,2000,No,6,Yes,2001,No,New,3.8,3.8,22.8,No
Algeria,Beech-1900 AGS,AGS aircraft,Aircraft,2000,No,2,Yes,2001,No,New,10.9,10.9,21.8,No
Algeria,Beech-1900 AGS,AGS aircraft,Aircraft,2000,No,4,Yes,2002,No,New,10.9,10.9,43.6,No
Algeria,Bell-412,helicopter,Aircraft,2001,Yes,3,Yes,2002,Yes,New,5,5,15,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1981,No,2,Yes,1984,Yes,New,28,28,56,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1981,No,2,Yes,1981,No,New,28,28,56,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1981,No,3,Yes,1982,No,New,28,28,84,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1981,No,3,Yes,1983,No,New,28,28,84,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1982,No,2,No,1983,No,New,28,28,56,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1983,Yes,2,Yes,1983,No,New,28,28,56,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1983,Yes,3,No,1984,Yes,New,28,28,84,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1981,No,2,Yes,1981,No,New,28,28,56,No
Algeria,C-130H Hercules,transport aircraft,Aircraft,1989,Yes,1,No,1990,Yes,New,28,28,28,No
Algeria,C-130J Hercules,transport aircraft,Aircraft,2018,No,2,Yes,2022,No,Second hand,40,16,32,No
Algeria,C-130J Hercules,transport aircraft,Aircraft,2018,No,1,Yes,2023,No,New,40,40,40,No
Algeria,King Air,light transport aircraft,Aircraft,1978,Yes,5,Yes,1978,Yes,New,2.85,2.85,14.25,No
Algeria,King Air,light transport aircraft,Aircraft,1994,Yes,1,Yes,1996,No,New,2.85,2.85,2.85,No
Algeria,King Air,light transport aircraft,Aircraft,1994,Yes,2,Yes,1995,Yes,New,2.85,2.85,5.7,No
Algeria,King Air,light transport aircraft,Aircraft,2009,Yes,4,Yes,2010,No,New,2.85,2.85,11.4,No
Algeria,King Air,light transport aircraft,Aircraft,2009,Yes,4,Yes,2011,No,New,2.85,2.85,11.4,No
Algeria,King Air MP,maritime patrol aircraft,Aircraft,1984,No,2,Yes,1985,No,New,7.5,7.5,15,No
Algeria,LM-2500 (30001-35000),gas turbine,Engines,2012,No,2,No,2016,No,New,7,7,14,No
Algeria,MaxxPro,APC,Armoured vehicles,2017,Yes,12,Yes,2020,No,New,0.32,0.32,3.84,No
Algeria,MaxxPro,APC,Armoured vehicles,2017,Yes,9,Yes,2018,No,New,0.32,0.32,2.88,No
Algeria,MaxxPro,APC,Armoured vehicles,2017,Yes,9,Yes,2019,Yes,New,0.32,0.32,2.88,No
Algeria,Model-300,light helicopter,Aircraft,1963,Yes,7,No,1963,No,New,0.2,0.2,1.4,No
Algeria,Musketeer AC,light aircraft,Aircraft,1976,Yes,1,Yes,1979,Yes,New,0.08,0.08,0.08,No
Algeria,Musketeer AC,light aircraft,Aircraft,1976,Yes,2,Yes,1977,No,New,0.08,0.08,0.16,No
Algeria,Musketeer AC,light aircraft,Aircraft,1976,Yes,4,Yes,1978,No,New,0.08,0.08,0.32,No
Algeria,T-34C,trainer aircraft,Aircraft,1978,Yes,6,No,1978,No,New,1.35,1.35,8.1,No
Algeria,TPS-43,air search radar,Sensors,1977,No,3,No,1984,No,New,9,9,27,No
Algeria,TPS-70,air search radar,Sensors,1998,Yes,2,Yes,2000,Yes,New,11,11,22,No
Algeria,TPS-70,air search radar,Sensors,1998,Yes,2,Yes,2001,Yes,New,11,11,22,No
Angola,APS-128,MP aircraft radar,Sensors,1986,No,2,Yes,1988,Yes,New,2.5,2.5,5,No
Angola,APS-128,MP aircraft radar,Sensors,1990,Yes,2,Yes,1994,Yes,New,2.5,2.5,5,No
Angola,Cessna-172,trainer/light aircraft,Aircraft,2012,Yes,6,No,2013,No,New,0.1,0.1,0.6,No
Angola,Citation-1,light transport aircraft,Aircraft,2015,Yes,1,No,2017,No,Second hand,4,1.6,1.6,No
Argentina,A-4AR,FGA aircraft,Aircraft,1994,No,5,No,1997,No,Second hand but modernized,14,9.24,46.2,No
Argentina,A-4AR,FGA aircraft,Aircraft,1994,No,10,No,1998,No,Second hand but modernized,14,9.24,92.4,No
Argentina,A-4AR,FGA aircraft,Aircraft,1994,No,4,No,2000,No,Second hand but modernized,14,9.24,36.96,No
Argentina,A-4AR,FGA aircraft,Aircraft,1994,No,17,Yes,1999,No,Second hand but modernized,14,9.24,157.08,No
Argentina,A-4B,FGA aircraft,Aircraft,1965,No,12,No,1966,No,Second hand but modernized,7.25,4.79,57.42,No
Argentina,A-4B,FGA aircraft,Aircraft,1965,No,13,No,1967,No,Second hand but modernized,7.25,4.79,62.21,No
Argentina,A-4B,FGA aircraft,Aircraft,1965,No,25,No,1970,No,Second hand but modernized,7.25,4.79,119.63,No
Argentina,A-4B,FGA aircraft,Aircraft,1971,Yes,16,No,1972,No,Second hand but modernized,7.25,4.79,76.56,No
Argentina,A-4C,FGA aircraft,Aircraft,1975,No,25,No,1976,No,Second hand but modernized,7.75,5.12,127.88,No
Argentina,AIM-9B Sidewinder,SRAAM,Missiles,1965,Yes,50,Yes,1967,Yes,New,0.04,0.04,2,No
Argentina,AIM-9B Sidewinder,SRAAM,Missiles,1965,Yes,50,Yes,1966,Yes,New,0.04,0.04,2,No
Argentina,AIM-9L,SRAAM,Missiles,2001,Yes,100,Yes,2002,Yes,New,0.11,0.11,11,No
Argentina,AIM-9L,SRAAM,Missiles,2001,Yes,100,Yes,2003,Yes,New,0.11,0.11,11,No
Argentina,aircraft engine 1001-2000,aircraft engine,Engines,1989,No,2,Yes,1995,Yes,New,0.5,0.5,1,No
Argentina,aircraft engine 1001-2000,aircraft engine,Engines,1989,No,2,Yes,1997,Yes,New,0.5,0.5,1,No
Argentina,aircraft engine 1001-2000,aircraft engine,Engines,1989,No,2,Yes,1999,Yes,New,0.5,0.5,1,No
Argentina,aircraft engine 1001-2000,aircraft engine,Engines,1989,No,2,Yes,2002,No,New,0.5,0.5,1,No
Argentina,aircraft engine 1001-2000,aircraft engine,Engines,1989,No,2,No,2000,No,New,0.5,0.5,1,No
Argentina,aircraft engine 1001-2000,aircraft engine,Engines,1946,Yes,50,Yes,1950,No,New,0.5,0.5,25,No
Argentina,APS-128,MP aircraft radar,Sensors,1988,Yes,3,No,1990,No,New,2.5,2.5,7.5,No
Argentina,APS-94,AGS radar,Sensors,1995,Yes,8,Yes,1997,Yes,Second hand,2.5,1,8,No
Argentina,Ashland,AALS,Ships,1970,No,1,No,1970,No,Second hand,57.62,23.05,23.05,No
Argentina,B-707,transport aircraft,Aircraft,1974,Yes,1,No,1975,No,New,44.5,44.5,44.5,No
Argentina,B-707,transport aircraft,Aircraft,1997,Yes,1,No,1997,No,Second hand,44.5,17.8,17.8,No
Argentina,Balao,submarine,Ships,1960,No,2,No,1960,No,Second hand,38.63,15.45,30.9,No
Argentina,Beech-18,light transport aircraft,Aircraft,1961,Yes,10,Yes,1962,Yes,New,0.4,0.4,4,No
Argentina,Bell-206,light helicopter,Aircraft,1968,Yes,4,No,1970,Yes,New,0.7,0.7,2.8,No
Argentina,Bell-206,light helicopter,Aircraft,1968,Yes,3,No,1971,Yes,New,0.7,0.7,2.1,No
Argentina,Bell-206,light helicopter,Aircraft,2009,No,2,No,2011,No,New,0.7,0.7,1.4,No
Argentina,Bell-206,light helicopter,Aircraft,2009,No,3,No,2012,Yes,New,0.7,0.7,2.1,No
Argentina,Bell-212,helicopter,Aircraft,1977,Yes,8,No,1977,No,New,3.7,3.7,29.6,No
Argentina,Bell-212,helicopter,Aircraft,1975,Yes,2,No,1976,No,New,3.7,3.7,7.4,No
Argentina,Bell-407,light helicopter,Aircraft,2022,No,2,Yes,2023,No,New,1.1,1.1,2.2,No
Argentina,Bell-412,helicopter,Aircraft,2011,Yes,1,No,2013,No,New,5,5,5,No
Argentina,Bell-412,helicopter,Aircraft,2014,No,1,No,2015,No,New,5,5,5,No
Argentina,Bell-412,helicopter,Aircraft,2014,No,1,No,2015,No,Second hand,5,2,2,No
Argentina,Bell-412,helicopter,Aircraft,2017,Yes,4,No,2017,No,New,5,5,20,No
Argentina,Bell-47,light helicopter,Aircraft,1960,Yes,8,Yes,1960,Yes,New,0.24,0.24,1.92,No
Argentina,Bell-47,light helicopter,Aircraft,1960,Yes,21,Yes,1961,Yes,New,0.24,0.24,5.04,No
Argentina,Bell-47,light helicopter,Aircraft,1960,Yes,1,Yes,1962,Yes,New,0.24,0.24,0.24,No
Argentina,Bell-47,light helicopter,Aircraft,1965,Yes,4,No,1966,No,New,0.24,0.24,0.96,No
Argentina,Bell-47,light helicopter,Aircraft,1965,Yes,2,No,1967,No,New,0.24,0.24,0.48,No
Argentina,Bell-47,light helicopter,Aircraft,1974,Yes,4,No,1975,No,Second hand,0.24,0.1,0.38,No
Argentina,Bell-47,light helicopter,Aircraft,1950,Yes,6,Yes,1951,Yes,New,0.24,0.24,1.44,No
Argentina,Brooklyn,cruiser,Ships,1951,No,2,No,1951,No,Second hand but modernized,300,198,396,No
Argentina,C-130B Hercules,transport aircraft,Aircraft,1992,No,3,No,1994,No,Second hand,23,9.2,27.6,No
Argentina,C-130B Hercules,transport aircraft,Aircraft,1992,No,2,No,1992,No,Second hand,23,9.2,18.4,No
Argentina,C-130E Hercules,transport aircraft,Aircraft,1967,Yes,3,No,1968,No,New,24,24,72,No
Argentina,C-130H Hercules,transport aircraft,Aircraft,1970,Yes,2,No,1971,No,New,28,28,56,No
Argentina,C-130H Hercules,transport aircraft,Aircraft,1970,Yes,1,No,1972,No,New,28,28,28,No
Argentina,C-130H Hercules,transport aircraft,Aircraft,1974,Yes,2,No,1975,No,New,28,28,56,No
Argentina,C-130H Hercules,transport aircraft,Aircraft,2022,No,1,No,2023,No,Second hand,28,11.2,11.2,No
Argentina,C-212,transport aircraft,Aircraft,2015,No,2,Yes,2015,Yes,Second hand,3.8,1.52,3.04,No
Argentina,Cessna-172,trainer/light aircraft,Aircraft,1976,No,5,No,1976,No,New,0.1,0.1,0.5,No
Argentina,Cessna-180 Skywagon,light aircraft,Aircraft,1968,No,10,Yes,1969,Yes,New,0.18,0.18,1.8,Yes
Argentina,Cessna-180 Skywagon,light aircraft,Aircraft,1968,No,10,Yes,1970,Yes,New,0.18,0.18,1.8,Yes
Argentina,Cessna-180 Skywagon,light aircraft,Aircraft,1968,No,10,Yes,1971,Yes,New,0.18,0.18,1.8,Yes
Argentina,Cessna-180 Skywagon,light aircraft,Aircraft,1968,No,10,Yes,1972,Yes,New,0.18,0.18,1.8,Yes
Argentina,Cessna-180 Skywagon,light aircraft,Aircraft,1970,Yes,12,No,1971,Yes,New,0.18,0.18,2.16,No
Argentina,Cessna-207,light transport aircraft,Aircraft,1974,Yes,5,No,1975,Yes,New,0.24,0.24,1.2,No
Argentina,Cessna-207,light transport aircraft,Aircraft,1974,Yes,4,Yes,1978,Yes,New,0.24,0.24,0.96,No
Argentina,Cessna-208 Caravan,light transport aircraft,Aircraft,2015,No,2,No,2015,No,New,1,1,2,No
Argentina,Cessna-208 Caravan,light transport aircraft,Aircraft,2016,Yes,2,No,2016,No,New,1,1,2,No
Argentina,Cessna-310,light transport aircraft,Aircraft,1957,No,1,No,1957,No,New,0.35,0.35,0.35,No
Argentina,CH-47C Chinook,transport helicopter,Aircraft,1977,Yes,3,No,1980,No,New,15,15,45,No
Argentina,CH-47C Chinook,transport helicopter,Aircraft,1978,Yes,2,No,1980,No,New,15,15,30,No
Argentina,Citation-1,light transport aircraft,Aircraft,1977,No,1,Yes,1977,Yes,New,4,4,4,No
Argentina,Citation-2,light transport aircraft,Aircraft,2015,No,1,No,2015,No,Second hand,3,1.2,1.2,No
Argentina,Commander,light transport aircraft,Aircraft,1967,Yes,16,Yes,1968,No,New,0.5,0.5,8,No
Argentina,DC-6,transport aircraft,Aircraft,1970,Yes,3,No,1971,Yes,Second hand,8.5,3.4,10.2,No
Argentina,DC-6,transport aircraft,Aircraft,1966,Yes,5,Yes,1967,No,Second hand,8.5,3.4,17,No
Argentina,Electra,transport aircraft,Aircraft,1973,No,3,No,1973,No,Second hand,17.5,7,21,No
Argentina,Electra,transport aircraft,Aircraft,1982,No,4,No,1983,No,Second hand,17.5,7,28,No
Argentina,F-4U Corsair,FGA aircraft,Aircraft,1956,Yes,52,No,1958,No,Second hand,2,0.8,41.6,No
Argentina,F-4U Corsair,FGA aircraft,Aircraft,1956,Yes,10,Yes,1956,Yes,Second hand,2,0.8,8,No
Argentina,F-86 Sabre,fighter aircraft,Aircraft,1958,Yes,28,No,1960,No,Second hand,3.5,1.4,39.2,No
Argentina,F-9F Cougar,fighter aircraft,Aircraft,1961,Yes,2,No,1962,No,Second hand,4,1.6,3.2,No
Argentina,F-9F Panther,fighter aircraft,Aircraft,1957,Yes,8,Yes,1957,No,Second hand,3.5,1.4,11.2,No
Argentina,F-9F Panther,fighter aircraft,Aircraft,1957,Yes,12,Yes,1958,No,Second hand,3.5,1.4,16.8,No
Argentina,FH-1100,light helicopter,Aircraft,1967,Yes,7,No,1968,No,New,0.7,0.7,4.9,No
Argentina,FH-1100,light helicopter,Aircraft,1969,Yes,2,Yes,1970,Yes,New,0.7,0.7,1.4,No
Argentina,Fletcher,destroyer,Ships,1970,Yes,2,No,1971,No,Second hand,100.56,40.22,80.45,No
Argentina,Fletcher,destroyer,Ships,1961,No,3,No,1961,No,Second hand,100.56,40.22,120.67,No
Argentina,Gearing FRAM-2,destroyer,Ships,1973,No,1,No,1973,No,Second hand,135,54,54,No
Argentina,GUPPY-1A,submarine,Ships,1971,Yes,1,No,1971,No,Second hand,40,16,16,No
Argentina,GUPPY-2,submarine,Ships,1971,No,1,No,1971,No,Second hand,46.5,18.6,18.6,No
Argentina,HU-16B Albatross,maritime patrol aircraft,Aircraft,1960,Yes,3,No,1961,No,Second hand,4,1.6,4.8,No
Argentina,Hughes-500D,light helicopter,Aircraft,1980,Yes,4,Yes,1981,No,New,0.71,0.71,2.84,Yes
Argentina,KC-130H Hercules,tanker/transport aircraft,Aircraft,1978,No,2,No,1979,No,New,38,38,76,No
Argentina,King Air,light transport aircraft,Aircraft,1978,No,6,Yes,1979,No,New,2.85,2.85,17.1,No
Argentina,King Air,light transport aircraft,Aircraft,1970,Yes,1,No,1971,No,New,2.85,2.85,2.85,No
Argentina,King Air,light transport aircraft,Aircraft,1974,Yes,2,No,1975,No,New,2.85,2.85,5.7,No
Argentina,King Air,light transport aircraft,Aircraft,2020,No,1,No,2021,No,Second hand,2.85,1.14,1.14,No
Argentina,King Air,light transport aircraft,Aircraft,2020,No,2,No,2022,No,Second hand,2.85,1.14,2.28,No
Argentina,King Air,light transport aircraft,Aircraft,2020,No,3,Yes,2023,No,Second hand,2.85,1.14,3.42,No
Argentina,Learjet-35,light transport aircraft,Aircraft,1976,Yes,2,Yes,1977,Yes,New,4.3,4.3,8.6,No
Argentina,Learjet-35,light transport aircraft,Aircraft,1976,Yes,2,No,1978,No,New,4.3,4.3,8.6,No
Argentina,Learjet-35,light transport aircraft,Aircraft,1980,No,1,No,1981,No,New,4.3,4.3,4.3,No
Argentina,Learjet-35,light transport aircraft,Aircraft,1981,No,1,No,1982,No,New,4.3,4.3,4.3,No
Argentina,Learjet-60,light transport aircraft,Aircraft,1998,Yes,1,No,1998,No,New,8.25,8.25,8.25,No
Argentina,Learjet-60,light transport aircraft,Aircraft,2019,No,1,No,2020,No,Second hand,8.25,3.3,3.3,No
Argentina,LSM,landing ship,Ships,1971,No,4,No,1971,No,Second hand,16,6.4,25.6,No
Argentina,LST-1,landing ship,Ships,1950,Yes,5,Yes,1950,Yes,Second hand,23.62,9.45,47.24,No
Argentina,LST-1,landing ship,Ships,1950,Yes,5,Yes,1951,Yes,Second hand,23.62,9.45,47.24,No
Argentina,LST-1,landing ship,Ships,1950,Yes,4,Yes,1952,Yes,Second hand,23.62,9.45,37.79,No
Argentina,LVT-4,APC,Armoured vehicles,1955,Yes,5,Yes,1955,Yes,Second hand,0.15,0.06,0.3,No
Argentina,LVTP-7,APC,Armoured vehicles,1975,Yes,10,Yes,1976,Yes,New,0.9,0.9,9,No
Argentina,LVTP-7,APC,Armoured vehicles,1975,Yes,11,Yes,1977,Yes,New,0.9,0.9,9.9,No
Argentina,M-101 105mm,towed gun,Artillery,1971,Yes,50,Yes,1973,Yes,Second hand,0.45,0.18,9,No
Argentina,M-106,self-propelled mortar,Artillery,1999,No,25,Yes,2000,Yes,Second hand,0.5,0.2,5,No
Argentina,M-113,APC,Armoured vehicles,1965,Yes,25,No,1967,No,New,0.25,0.25,6.25,No
Argentina,M-113,APC,Armoured vehicles,1965,Yes,25,No,1968,No,New,0.25,0.25,6.25,No
Argentina,M-113,APC,Armoured vehicles,1965,Yes,25,No,1969,No,New,0.25,0.25,6.25,No
Argentina,M-113,APC,Armoured vehicles,1970,Yes,55,No,1973,No,New,0.25,0.25,13.75,No
Argentina,M-113,APC,Armoured vehicles,1971,Yes,71,Yes,1971,Yes,New,0.25,0.25,17.75,No
Argentina,M-113,APC,Armoured vehicles,1971,Yes,71,Yes,1972,Yes,New,0.25,0.25,17.75,No
Argentina,M-113,APC,Armoured vehicles,1999,No,57,Yes,2000,Yes,Second hand,0.25,0.1,5.7,No
Argentina,M-113,APC,Armoured vehicles,1999,No,20,No,2000,No,Second hand,0.25,0.1,2,No
Argentina,M-114 155mm,towed gun,Artillery,1960,Yes,11,Yes,1961,Yes,Second hand,0.5,0.2,2.2,No
Argentina,M-3 Half-track,APC,Armoured vehicles,1948,Yes,100,Yes,1950,Yes,Second hand,0.15,0.06,6,No
Argentina,M-30 107mm,mortar,Artillery,1962,Yes,50,Yes,1963,No,New,0.25,0.25,12.5,No
Argentina,M-59 155mm,towed gun,Artillery,1960,Yes,18,Yes,1961,Yes,Second hand,0.75,0.3,5.4,No
Argentina,M-7 105mm,self-propelled gun,Artillery,1950,Yes,6,No,1950,No,Second hand,0.75,0.3,1.8,No
Argentina,Marsea,cargo ship,Ships,1987,No,1,No,1987,No,Second hand,20,8,8,No
Argentina,MD-500E,light helicopter,Aircraft,1989,Yes,3,No,1990,Yes,New,0.7,0.7,2.1,No
Argentina,Merlin-3,light transport aircraft,Aircraft,1977,No,4,No,1977,No,New,2,2,8,No
Argentina,Metro-2,transport aircraft,Aircraft,1977,No,2,No,1977,No,New,2.5,2.5,5,No
Argentina,Mk-37,ASW torpedo,Missiles,1973,Yes,30,Yes,1974,No,Second hand,1,0.4,12,No
Argentina,Mk-37,ASW torpedo,Missiles,1977,Yes,25,Yes,1985,Yes,Second hand,1,0.4,10,No
